model,k,precision_at_k,recall_at_k,hit_rate_at_k,ndcg_at_k,catalog_coverage_at_k,evaluated_users
hybrid_knn_content,5,0.13999999999999999,0.06175783366959837,0.49,0.13223605760714727,0.875,100
tuned_surprise_svd,5,0.13,0.05564395734983971,0.5,0.1211110711820101,0.625,100
tuned_surprise_knn,5,0.12399999999999999,0.05318965185141655,0.47,0.13214590199444193,0.95,100
baseline_user_based_cf,5,0.12399999999999999,0.05353803549391785,0.48,0.11953956599297458,0.575,100
content_based_tfidf,5,0.122,0.053939810189810186,0.49,0.11890293037520991,0.75,100
tuned_surprise_knn,10,0.117,0.10160272897037605,0.69,0.12750553603191628,0.95,100
hybrid_knn_content,10,0.11600000000000002,0.1011492241418712,0.7,0.12058130545164208,0.95,100
content_based_tfidf,10,0.11399999999999999,0.09935930164606635,0.71,0.11627033532642347,0.925,100
tuned_surprise_svd,10,0.10600000000000001,0.09207776373952843,0.69,0.10902342566069867,0.925,100
baseline_user_based_cf,10,0.106,0.09223090226766695,0.69,0.11027473202437149,0.925,100
