model,precision_at_k,ndcg_at_k,evaluated_users,n_factors,n_epochs,lr_all,reg_all,k,min_k,similarity,user_based
surprise_svd,0.13,0.1211110711820101,100,10.0,20.0,0.003,0.08,,,,
surprise_svd,0.126,0.12505939309526565,100,20.0,35.0,0.007,0.08,,,,
surprise_svd,0.126,0.11751052503623775,100,10.0,35.0,0.003,0.08,,,,
surprise_knn,0.12399999999999999,0.13214590199444193,100,,,,,20.0,1.0,cosine,True
surprise_knn,0.12399999999999999,0.13214590199444193,100,,,,,20.0,2.0,cosine,True
surprise_knn,0.12399999999999999,0.13214590199444193,100,,,,,20.0,5.0,cosine,True
surprise_knn,0.12399999999999999,0.12106476365929708,100,,,,,20.0,1.0,cosine,False
surprise_knn,0.12399999999999999,0.12106476365929708,100,,,,,20.0,2.0,cosine,False
surprise_knn,0.12399999999999999,0.12106476365929708,100,,,,,20.0,5.0,cosine,False
surprise_svd,0.12399999999999999,0.12101662187744987,100,10.0,20.0,0.003,0.02,,,,
surprise_knn,0.12399999999999999,0.12060669819130038,100,,,,,30.0,1.0,cosine,False
surprise_knn,0.12399999999999999,0.12060669819130038,100,,,,,30.0,2.0,cosine,False
surprise_knn,0.12399999999999999,0.12060669819130038,100,,,,,30.0,5.0,cosine,False
surprise_knn,0.12399999999999999,0.12060669819130038,100,,,,,40.0,1.0,cosine,False
surprise_knn,0.12399999999999999,0.12060669819130038,100,,,,,40.0,2.0,cosine,False
surprise_knn,0.12399999999999999,0.12060669819130038,100,,,,,40.0,5.0,cosine,False
baseline_user_based_cf,0.12399999999999999,0.11953956599297458,100,,,,,,,,
surprise_svd,0.12399999999999999,0.11840652417422255,100,10.0,35.0,0.003,0.02,,,,
surprise_svd,0.12200000000000001,0.12372904478126782,100,20.0,20.0,0.007,0.08,,,,
surprise_svd,0.122,0.12924037539354108,100,20.0,35.0,0.003,0.08,,,,
surprise_svd,0.122,0.12870799241899278,100,20.0,20.0,0.003,0.08,,,,
surprise_svd,0.12,0.1261040249565541,100,20.0,35.0,0.003,0.02,,,,
surprise_svd,0.12,0.11253157739851279,100,10.0,20.0,0.007,0.08,,,,
surprise_svd,0.11999999999999998,0.11571423535821278,100,40.0,20.0,0.003,0.02,,,,
surprise_svd,0.118,0.12366873341153531,100,20.0,20.0,0.003,0.02,,,,
surprise_svd,0.118,0.1149144334698295,100,10.0,20.0,0.007,0.02,,,,
surprise_knn,0.11600000000000002,0.1184309519538856,100,,,,,20.0,1.0,msd,False
surprise_knn,0.11600000000000002,0.1184309519538856,100,,,,,20.0,2.0,msd,False
surprise_knn,0.11600000000000002,0.1184309519538856,100,,,,,20.0,5.0,msd,False
surprise_svd,0.11599999999999999,0.12339764139983282,100,20.0,20.0,0.007,0.02,,,,
surprise_svd,0.11599999999999999,0.11448866938772673,100,40.0,35.0,0.003,0.02,,,,
surprise_svd,0.11599999999999999,0.10933911838995623,100,40.0,20.0,0.007,0.08,,,,
surprise_knn,0.11599999999999998,0.1108984539911064,100,,,,,10.0,1.0,msd,False
surprise_knn,0.11599999999999998,0.1108984539911064,100,,,,,10.0,2.0,msd,False
surprise_knn,0.11599999999999998,0.1108984539911064,100,,,,,10.0,5.0,msd,False
surprise_svd,0.114,0.1176049766305975,100,20.0,35.0,0.007,0.02,,,,
surprise_knn,0.114,0.1130419897363192,100,,,,,30.0,1.0,msd,False
surprise_knn,0.114,0.1130419897363192,100,,,,,30.0,2.0,msd,False
surprise_knn,0.114,0.1130419897363192,100,,,,,30.0,5.0,msd,False
surprise_knn,0.114,0.1130419897363192,100,,,,,40.0,1.0,msd,False
surprise_knn,0.114,0.1130419897363192,100,,,,,40.0,2.0,msd,False
surprise_knn,0.114,0.1130419897363192,100,,,,,40.0,5.0,msd,False
surprise_knn,0.114,0.11179812622695871,100,,,,,40.0,1.0,msd,True
surprise_knn,0.114,0.11179812622695871,100,,,,,40.0,2.0,msd,True
surprise_knn,0.114,0.11179812622695871,100,,,,,40.0,5.0,msd,True
