ngram_range,max_features,sublinear_tf,model,k,precision_at_k,recall_at_k,hit_rate_at_k,ndcg_at_k,catalog_coverage_at_k,evaluated_users
"(1, 3)",100.0,False,content_based_tfidf,5,0.122,0.053939810189810186,0.49,0.11890293037520991,0.75,100
"(1, 3)",100.0,True,content_based_tfidf,5,0.11799999999999997,0.05193981018981018,0.47,0.1168715231692439,0.75,100
"(1, 2)",100.0,False,content_based_tfidf,5,0.10799999999999997,0.047613691863691854,0.42,0.10857345443640064,0.7,100
"(1, 1)",100.0,True,content_based_tfidf,5,0.10799999999999997,0.04702314352314351,0.46,0.10747034775431338,0.625,100
"(1, 1)",100.0,False,content_based_tfidf,5,0.10599999999999998,0.045883283383283374,0.48,0.10752269462412305,0.55,100
"(1, 2)",300.0,True,content_based_tfidf,5,0.10599999999999998,0.048012140637140634,0.45,0.10429372914171008,0.625,100
"(1, 1)",300.0,False,content_based_tfidf,5,0.10399999999999998,0.04576336163836163,0.46,0.11011633133740968,0.65,100
"(1, 1)",500.0,False,content_based_tfidf,5,0.10399999999999998,0.04576336163836163,0.46,0.11011633133740968,0.65,100
"(1, 1)",,False,content_based_tfidf,5,0.10399999999999998,0.04576336163836163,0.46,0.11011633133740968,0.65,100
"(1, 1)",300.0,True,content_based_tfidf,5,0.10399999999999998,0.04688240925740925,0.46,0.11004017957172386,0.625,100
"(1, 1)",500.0,True,content_based_tfidf,5,0.10399999999999998,0.04688240925740925,0.46,0.11004017957172386,0.625,100
"(1, 1)",,True,content_based_tfidf,5,0.10399999999999998,0.04688240925740925,0.46,0.11004017957172386,0.625,100
"(1, 2)",300.0,False,content_based_tfidf,5,0.10399999999999998,0.04721416083916083,0.44,0.10421757737602427,0.625,100
"(1, 3)",500.0,True,content_based_tfidf,5,0.10399999999999998,0.046845473970473964,0.43,0.10289939636011222,0.625,100
"(1, 3)",500.0,False,content_based_tfidf,5,0.10399999999999998,0.047138403263403246,0.46,0.10084785506633807,0.625,100
"(1, 2)",500.0,False,content_based_tfidf,5,0.102,0.04590921578421578,0.44,0.10660043344734098,0.65,100
"(1, 2)",,False,content_based_tfidf,5,0.102,0.04590921578421578,0.44,0.10660043344734098,0.65,100
"(1, 2)",100.0,True,content_based_tfidf,5,0.10199999999999998,0.04483977133977134,0.41,0.10650607274667319,0.7,100
"(1, 2)",500.0,True,content_based_tfidf,5,0.09799999999999999,0.04443735431235431,0.42,0.10168967307537896,0.625,100
"(1, 2)",,True,content_based_tfidf,5,0.09799999999999999,0.04443735431235431,0.42,0.10168967307537896,0.625,100
"(1, 3)",300.0,True,content_based_tfidf,5,0.09799999999999999,0.042943958818958815,0.41,0.09943347909062399,0.625,100
"(1, 3)",,True,content_based_tfidf,5,0.09799999999999999,0.04424254911754911,0.42,0.09896324403474198,0.675,100
"(1, 3)",,False,content_based_tfidf,5,0.09799999999999998,0.04400012487512486,0.43,0.09976671902099273,0.7,100
"(1, 3)",300.0,False,content_based_tfidf,5,0.09799999999999998,0.043548465423465424,0.41,0.09824388760389939,0.65,100
