cf_model,cf_weight,content_weight,model,k,precision_at_k,recall_at_k,hit_rate_at_k,ndcg_at_k,catalog_coverage_at_k,evaluated_users
knn,0.6,0.4,hybrid_knn_content,5,0.13999999999999999,0.06175783366959837,0.49,0.13223605760714727,0.875,100
knn,0.8,0.2,hybrid_knn_content,5,0.13399999999999998,0.05838506754683225,0.5,0.13365472727471622,0.925,100
knn,0.7,0.3,hybrid_knn_content,5,0.13399999999999998,0.05799556815733285,0.49,0.12710060135008827,0.9,100
svd,1.0,0.0,hybrid_svd_content,5,0.13,0.05564395734983971,0.5,0.1211110711820101,0.625,100
knn,0.5,0.5,hybrid_knn_content,5,0.12999999999999998,0.05807003127591362,0.45,0.12932082085108176,0.85,100
knn,1.0,0.0,hybrid_knn_content,5,0.12399999999999999,0.05318965185141655,0.47,0.13214590199444193,0.95,100
svd,0.1,0.9,hybrid_svd_content,5,0.12399999999999999,0.05499500499500498,0.49,0.1214247067248661,0.725,100
baseline,1.0,0.0,hybrid_baseline_content,5,0.12399999999999999,0.05353803549391785,0.48,0.11953956599297458,0.575,100
svd,0.7,0.3,hybrid_svd_content,5,0.12399999999999999,0.05469056352144586,0.51,0.11873609100672379,0.65,100
svd,0.8,0.2,hybrid_svd_content,5,0.12399999999999999,0.053410191116073466,0.48,0.11781199328100796,0.65,100
baseline,0.6,0.4,hybrid_baseline_content,5,0.12399999999999997,0.054477429433311776,0.49,0.11965826357961344,0.75,100
baseline,0.1,0.9,hybrid_baseline_content,5,0.122,0.05416167166167165,0.48,0.12077170101085272,0.725,100
svd,0.0,1.0,hybrid_svd_content,5,0.122,0.053939810189810186,0.49,0.11890293037520991,0.75,100
knn,0.0,1.0,hybrid_knn_content,5,0.122,0.053939810189810186,0.49,0.11890293037520991,0.75,100
baseline,0.0,1.0,hybrid_baseline_content,5,0.122,0.053939810189810186,0.49,0.11890293037520991,0.75,100
baseline,0.7,0.3,hybrid_baseline_content,5,0.12199999999999997,0.05308035428623663,0.48,0.11910574651725694,0.675,100
svd,0.6,0.4,hybrid_svd_content,5,0.12199999999999997,0.05410376143464377,0.51,0.11628312251681792,0.675,100
knn,0.9,0.1,hybrid_knn_content,5,0.12,0.051825182986947695,0.46,0.12529634717214042,0.95,100
knn,0.2,0.8,hybrid_knn_content,5,0.11999999999999998,0.05380189255189255,0.47,0.1200541811289439,0.725,100
svd,0.2,0.8,hybrid_svd_content,5,0.11999999999999998,0.05257194602782838,0.47,0.11746238096459098,0.725,100
svd,0.9,0.1,hybrid_svd_content,5,0.11999999999999998,0.051923719254601604,0.47,0.11610402495655413,0.625,100
svd,0.5,0.5,hybrid_svd_content,5,0.118,0.05238153921242155,0.5,0.11834437625555629,0.7,100
baseline,0.8,0.2,hybrid_baseline_content,5,0.11799999999999997,0.05179723462811697,0.48,0.11703232548043287,0.65,100
baseline,0.9,0.1,hybrid_baseline_content,5,0.11599999999999999,0.05047713805802041,0.46,0.11166779104252951,0.6,100
knn,0.3,0.7,hybrid_knn_content,5,0.11599999999999998,0.05223468198468198,0.46,0.11595355568431673,0.775,100
baseline,0.5,0.5,hybrid_baseline_content,5,0.11599999999999998,0.05178720299308533,0.48,0.11541696991160548,0.725,100
knn,0.1,0.9,hybrid_knn_content,5,0.11599999999999998,0.051753912753912744,0.46,0.11532435486617945,0.725,100
knn,0.4,0.6,hybrid_knn_content,5,0.11399999999999999,0.05124099511599511,0.44,0.11636111312123704,0.825,100
baseline,0.4,0.6,hybrid_baseline_content,5,0.11399999999999999,0.05141220299308533,0.47,0.1145087125818429,0.725,100
svd,0.4,0.6,hybrid_svd_content,5,0.11399999999999999,0.05089261147349381,0.49,0.11444656466317665,0.7,100
baseline,0.2,0.8,hybrid_baseline_content,5,0.11399999999999999,0.0498493630552454,0.44,0.11284704949030253,0.7,100
baseline,0.3,0.7,hybrid_baseline_content,5,0.11399999999999999,0.050538465619347966,0.46,0.11153683526411286,0.675,100
svd,0.3,0.7,hybrid_svd_content,5,0.11199999999999999,0.048947195778078115,0.47,0.11039591754933042,0.675,100
knn,0.7,0.3,hybrid_knn_content,10,0.11900000000000001,0.10397462096726803,0.7,0.12146420337451783,0.95,100
knn,0.9,0.1,hybrid_knn_content,10,0.118,0.10235236822001528,0.72,0.12548337031880386,0.95,100
knn,1.0,0.0,hybrid_knn_content,10,0.117,0.10160272897037605,0.69,0.12750553603191628,0.95,100
knn,0.5,0.5,hybrid_knn_content,10,0.11699999999999999,0.10249385173649879,0.72,0.12303083469654938,0.95,100
knn,0.6,0.4,hybrid_knn_content,10,0.11600000000000002,0.1011492241418712,0.7,0.12058130545164208,0.95,100
knn,0.8,0.2,hybrid_knn_content,10,0.11599999999999999,0.10121073207837915,0.72,0.12434228393195651,0.95,100
knn,0.3,0.7,hybrid_knn_content,10,0.11599999999999999,0.10160658622423328,0.69,0.11821971277038922,0.975,100
knn,0.4,0.6,hybrid_knn_content,10,0.11399999999999999,0.10009330783595488,0.7,0.11838684926168883,0.95,100
svd,0.0,1.0,hybrid_svd_content,10,0.11399999999999999,0.09935930164606635,0.71,0.11627033532642347,0.925,100
